phrase,en,id
价格,price,0
销售量,sales volume,1
市场调查,market survey,2
市场份额,market share,3
促销,promotion,4
广告宣传,advertising,5
售后服务,after-sale service,6
降低成本,cost-cutting,7
顾客,customer,8
买方,buyer,9
卖方,seller,10
代理商,agent,11
零售,retail,12
批发,wholesale,13
交易,deal,14
商品交易会,trade fair,15
电子商务,e-commerce,16
优惠券,coupon,17
议程,agenda,18
出席者,attendee,19
缺席者,absentee,20
视频会议,video conference,21
投票,ballot,22
决议,decision,23
条款,item,24
提议,proposal,25
任务,task,26
总结,summary,27
公司,company,28
市场,market,29
企业,enterprise,30
投资,investment,31
银行,bank,32
资金,capital,33
业务,business,34
增长,growth,35
产品,product,36
价格,price,37
管理,management,38
经济,economy,39
贷款,loan,40
行业,industry,41
金融,finance,42
生产,production,43
财经,finance and economics,44
客户,customer,45
股票,stock,46
品牌,brand,47
宣传,advertise,48
贸易,business/trade,49
目录,category,50
成本,cost,51
创造,create,52
定制,customize,53
运输,deliver,54
需求,demand,55
描述,description,56
设计,design,57
发展,develop,58
分配,distribute,59
出口,export,60
著名的,famous,61
反馈,feedback,62
进口,import,63
增加,increase/rising,64
信息,information,65
介绍,introduce,66
商标,label,67
发布,launch,68
经理,manager,69
制造,manufacture,70
报价,offer,71
机会,opportunity,72
支出,outlay,73
产量,output,74
包装,package,75
付钱,pay,76
表现,perform,77
流行,popular,78
能力,power,79
利润,profit,80
促销,promote,81
质量,quality,82
排名,rank,83
原材料,raw material,84
减少,reduce,85
偿还,refund,86
拒绝,reject,87
样品,sample,88
节省,save,89
支持,support,90
目标,target,91
关税,tariff,92
税金,tax,93
测试,test,94
种类,type,95
浪费,uneconomical,96
失业,unemployment,97
单位成本,unit cost,98
价值,value,99
卖主,vendor,100
行业,vocation,101
崩溃,collapse,102
变动成本,variable costs,103
边际,limit,104
边际利润率,profit margin,105
不平等,unequal,106
不正当竞争,unfair competition,107
财富,wealth,108
财务预测,financial forecast,109
差距,disparity,110
出超,trade surplus,111
贷款人,lender,112
东盟,Association of Southeast Asian Nations,113
东南亚国家联盟,Association of South East Asian Nations (ASEAN),114
对冲基金,hedge fund,115
多边,multilateral,116
反垄断,anti-trust,117
繁荣,prosperous,118
发展中国家,developing country,119
非政府组织,nongovernmental organization,120
风险,risk,121
分销,retail,122
腐败,corruption,123
复苏,recovery,124
负增长,negative growth,125
改革,reform,126
供给,supply,127
公开上市,go public (with a company),128
公司价值,corporate value; company value,129
公司债券,corporate bond,130
共同市场,common market,131
供应,provide,132
供应商,supplier,133
工资,wages; salary,134
挂牌,to open up for business,135
固定成本,Fixed cost,136
固定收入,fixed income,137
股东,stockholder; shareholder,138
国际货币基金,IMF (International Monetary Fund),139
国库券,treasure bonds,140
国民生产总值,GNP,141
国民收入,measures of national income and output,142
国内生产总值,gross domestic product,143
国债,national debt,144
股票市场,stock market,145
宏观经济,macro-economic,146
红利,bonus,147
后市,afternoon market,148
华尔街,Wall Street,149
黄金,gold,150
黄金储备,gold reserve,151
回升,rise again,152
货币,currency,153
货币政策,monetary policy,154
货物,goods,155
价格歧视,price discrimination,156
奖金,bonus,157
交割,complete a business transaction,158
交易成本,transaction cost,159
基础设施,infrastructure,160
基金,fund,161
经济均衡,economic equilibrium,162
经济增长率,economic growth rate,163
净利润,net profit,164
景气,economic prosperity,165
竞争,compete,166
集团,group,167
基准利率,base rate,168
可支配收入,disposable income,169
跨国公司,transnational corporation,170
利率,interest rate,171
零和博弈,zero-sum game,172
毛利,gross profit,173
垄断企业,monopoly,174
贸易顺差,trade surplus,175
贸易平衡,trade balance,176
贸易逆差,trade deficit,177
美元,U.S. dollar,178
内需,domestic demand,179
欧盟,the European Union; EU,180
欧洲联盟,European Union / EU,181
泡沫经济,bubble economy,182
贫困率,poverty rate,183
破产,go bankrupt,184
期货,futures (on goods),185
囚徒困境,(Game theory) prisoner's dilemma,186
全球变暖,global warming,187
全球化,globalization,188
人均收入,per capita income,189
上市,(said of seasonal goods or new products) go on the market,190
上限,superior limit,191
生产总值,gross product,192
市场占有率,market share,193
世界贸易组织,World Trade Organization,194
世界银行,World Bank,195
收益,profit,196
